License Type Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,Latitude,Longitude
WINERY / FARM WINERY RETAIL,STEUBEN,CHATEAU RENAISSANCE INC,CHATEAU RENAISSANCE WINE CELLARS,7494 FISH HATCHERY RD,RENAISSANCE WINE CELLARS,HAMMONDSPORT,NY,14840,42.38717952,-77.26484049
WINERY / FARM WINERY RETAIL,STEUBEN,DOYLE ACQUISITION CORPORATION,PLEASANT VALLEY WINE CO,8260 PLEASANT VALLEY RD,,HAMMONDSPORT,NY,14840,42.40199963,-77.25173009
"DISTILLER ""A-1""",TOMPKINS,SIX MILE ENTERPRISES LLC,SIX MILE CREEK VINEYARD,1551 SLATERVILLE RD,,ITHACA,NY,14850,42.41575,-76.45534
FARM BREWER,TOMPKINS,NORTHEAST PIZZA AND BEER LLC,SCALE HOUSE BREWERY,23C CINEMA DR,,ITHACA,NY,14850,42.4801,-76.47836
FARM BREWER,TOMPKINS,LIQUID STATE BREWING COMPANY INC,,620 W GREEN ST,,ITHACA,NY,14850,42.43872,-76.50768
FARM BREWER,TOMPKINS,GARRETTS BREWING COMPANY INC,,1 W MAIN ST,,TRUMANSBURG,NY,14886,0,0
FARM BREWER,TOMPKINS,HOPSHIRE BREWERY LLC,HOPSHIRE FARM & BREWERY,1771 DRYDEN RD,,FREEVILLE,NY,13068,42.48171378,-76.3692873
FARM BREWER,TOMPKINS,SALT POINT BREWING COMPANY LLC,,2075 E SHORE DR,,LANSING,NY,14882,42.5375,-76.50586
FARM WINERY,TOMPKINS,SIX MILE ENTERPRISES LLC,SIX MILE CREEK VINEYARD,1551 SLATERVILLE RD,,ITHACA,NY,14850,42.41575,-76.45534
FARM WINERY,TOMPKINS,BET THE FARM INC,BET THE FARM,4204 KRUMS CORNERS RD,,TRUMANSBURG,NY,14886,42.50153,-76.57439
FARM WINERY,TOMPKINS,SOUTH HILL CIDER LLC,SOUTH HILL CIDER,560 W KING RD,,ITHACA,NY,14850,42.39193,-76.52275
MICRO BREWER,TOMPKINS,ITHACA BEER COMPANY INC,ITHACA BEER COMPANY,122 ITHACA BEER DR,,ITHACA,NY,14850,42.41607205,-76.53508089
